Jeu,Date,N1,N2,N3,N4,N5,E1,E2
Loto,2026-05-13,17,35,38,41,46,2,0
Loto,2026-05-11,17,18,30,34,39,0,0
Loto,2026-05-09,16,21,25,26,31,0,0
Loto,2026-05-06,7,18,27,35,48,5,0
Loto,2026-05-04,4,8,15,18,46,2,0
Loto,2026-05-02,10,17,19,29,41,7,0
Loto,2026-04-30,2,3,30,31,37,8,0
Loto,2026-04-27,6,15,23,27,43,4,0
Loto,2026-04-25,9,17,22,25,49,3,0
Loto,2026-04-23,2,12,16,20,26,2,0
EuroMillions,2026-05-12,4,26,32,35,36,5,7
EuroMillions,2026-05-08,2,17,19,34,37,8,11
EuroMillions,2026-05-05,3,4,8,20,31,1,9
EuroMillions,2026-05-01,3,9,42,46,47,1,11
EuroMillions,2026-04-28,26,29,41,46,47,8,9
EuroMillions,2026-04-24,1,2,4,7,28,5,12
EuroMillions,2026-04-21,10,13,14,38,41,6,9
EuroMillions,2026-04-17,11,14,19,36,49,6,7
EuroMillions,2026-04-14,8,27,29,46,49,2,10
EuroMillions,2026-04-10,5,8,10,33,38,2,7
